Rank;Tier;Username;Join Date;Gold Medals;Silver Medals;Bronze Medals;Points
2572;expert;Vlad Kostoglodoff;2018;0;2;2;3275
2573;expert;Johannes;2020;0;2;1;3275
2574;expert;Rhapsody;2019;0;0;2;3271
2575;expert;Ivan Romanov;2017;0;2;1;3270
2576;expert;Tom Kelly;2018;0;1;1;3266
2577;expert;Taffey Lewis;2014;0;3;3;3262
2578;expert;OgOg;2018;0;1;1;3262
2579;master;amihali3;2014;1;1;4;3260
2580;expert;Alexey Rozhkov;2016;2;0;1;3259
2581;expert;Prakash;2012;0;6;5;3258
2582;master;Tianyu Pang;2018;3;0;0;3257
2583;expert;???;2021;1;0;1;3257
2584;master;Justfor;2015;1;19;10;3255
2585;master;Anton Zakharenkov;2016;1;2;2;3255
2586;expert;Fernando Camargo;2017;0;2;2;3253
2587;expert;Tianyue Cheng;2019;0;2;0;3253
2588;expert;jmgv;2017;1;1;0;3252
2589;master;Vladislav Myrov;2016;2;1;2;3250
2590;expert;mHealth Lab;2020;0;1;1;3250
2591;expert;???;2017;0;4;4;3248
2592;expert;yu89mo;2019;0;2;1;3248
2593;expert;act;2020;0;3;1;3246
2594;expert;Nurma;2017;0;2;3;3245
2595;expert;Mehdi GASMI;2018;0;1;1;3242
2596;expert;Seanny;2019;0;2;0;3241
2597;expert;Mo, Haoran;2018;0;3;1;3239
2598;expert;blueboy-97;2021;0;0;2;3239
2599;expert;xffj;2015;0;4;2;3238
2600;expert;Ryosuke Horiuchi;2018;0;3;0;3237
2601;expert;Daniel Shan;2019;0;2;0;3237
2602;master;shivraj;2015;1;4;4;3236
2603;master;Igor Kotenkov;2017;1;2;1;3234
2604;expert;MuhammedBuyukkinaci;2016;0;3;2;3233
2605;expert;Anurag;2017;0;2;2;3230
2606;expert;Phillip Cheng;2016;1;0;1;3229
2607;expert;Alan Zhang;2020;0;1;1;3229
2608;expert;Artyom Makhin;2019;0;2;2;3228
2609;expert;GauthamKumaran;2016;0;1;1;3223
2610;master;Arnav Chavan;2020;1;2;1;3221
2611;master;nel215;2016;1;4;0;3219
2612;expert;9shiki;2018;0;2;1;3219
2613;expert;Vladimir Demidov;2017;0;10;6;3217
2614;expert;kushal Agrawal;2021;0;2;3;3214
2615;expert;Serhii Korsunenko;2014;0;2;6;3209
2616;expert;hypknot;2020;0;2;1;3208
2617;master;onthehilluu;2012;4;20;8;3204
2618;master;Shuji Suzuki;2017;5;0;1;3204
2619;expert;nocturne_protocol;2014;0;0;3;3203
2620;master;Joejia;2018;1;2;2;3200
2621;grandmaster;Pawe? Jankiewicz;2012;9;2;3;3198
2622;master;Ildoo Kim;2014;1;4;1;3197
2623;master;ykaneko;2016;1;4;2;3197
2624;expert;Varsha Waingankar;2018;0;1;2;3197
2625;expert;Eric Stringfellow;2020;0;1;2;3197
2626;expert;Zehao Liu;2021;0;2;1;3197
2627;expert;Ian M;2019;0;3;1;3195
2628;expert;drupal;2020;1;0;1;3194
2629;expert;sosaler;2021;0;2;1;3194
2630;expert;Tom;2021;0;0;2;3194
2631;grandmaster;Tam T. Nguyen;2013;6;11;8;3193
